,Measurement Datetime,Temperature (C),Real Days,Relative Humidity (%)
0,2024-11-04 15:25:00,24.3,0.0,
1,2024-11-05 11:32:00,24.3,0.8381944444444445,
2,2024-11-05 18:01:00,,1.1083333333333334,
3,2024-11-06 11:03:00,,1.8180555555555555,
4,2024-11-06 17:57:00,,2.105555555555556,
5,2024-11-12 09:26:00,,7.750694444444445,
6,2024-11-15 11:06:00,,10.82013888888889,
7,2024-11-18 11:18:00,,13.828472222222222,
8,2024-11-20 16:58:00,,16.064583333333335,
9,2024-11-21 09:30:00,,16.75347222222222,
10,2024-11-25 09:57:00,,20.772222222222226,
11,2024-11-26 12:24:00,,21.874305555555555,
12,2024-12-02 10:25:00,,27.791666666666668,
13,2024-12-19 14:39:52,24.21,44.96865740740741,35.03
14,2024-12-19 14:54:52,23.99,44.97907407407408,35.71
15,2024-12-19 15:09:52,22.97,44.98949074074074,38.21
16,2024-12-19 15:24:52,24.15,44.99990740740741,36.9
17,2024-12-19 15:39:52,24.23,45.01032407407408,36.85
18,2024-12-19 15:54:52,23.41,45.02074074074074,38.85
19,2024-12-19 16:09:52,23.6,45.03115740740741,38.06
20,2024-12-19 16:24:52,24.19,45.04157407407408,36.4
21,2024-12-19 16:39:52,22.82,45.05199074074074,39.4
22,2024-12-19 16:54:52,22.76,45.06240740740741,40.36
23,2024-12-19 17:09:52,23.55,45.07282407407408,38.73
24,2024-12-19 17:24:52,23.58,45.08324074074074,38.38
25,2024-12-19 17:39:52,22.6,45.09365740740741,40.61
26,2024-12-19 17:54:52,23.78,45.10407407407408,37.4
27,2024-12-19 18:09:52,22.56,45.11449074074074,39.94
28,2024-12-19 18:24:52,22.6,45.12490740740741,39.65
29,2024-12-19 18:39:52,22.56,45.13532407407408,39.49
30,2024-12-19 18:54:52,22.8,45.14574074074074,38.96
31,2024-12-19 19:09:52,22.58,45.15615740740741,39.37
32,2024-12-19 19:24:52,22.76,45.16657407407408,38.66
33,2024-12-19 19:39:52,22.43,45.17699074074074,39.37
34,2024-12-19 19:54:52,22.57,45.18740740740741,38.85
35,2024-12-19 20:09:52,22.37,45.19782407407408,39.15
36,2024-12-19 20:24:52,22.32,45.20824074074074,39.05
37,2024-12-19 20:39:52,22.35,45.21865740740741,39.01
38,2024-12-19 20:54:52,22.27,45.22907407407408,38.95
39,2024-12-19 21:09:52,22.26,45.23949074074074,38.92
40,2024-12-19 21:24:52,22.2,45.24990740740741,38.98
41,2024-12-19 21:39:52,22.0,45.26032407407408,39.37
42,2024-12-19 21:54:52,22.09,45.27074074074074,50.26
43,2024-12-19 22:09:52,22.11,45.28115740740741,41.27
44,2024-12-19 22:24:52,22.08,45.29157407407408,39.73
45,2024-12-19 22:39:52,22.0,45.30199074074074,39.54
46,2024-12-19 22:54:52,21.98,45.31240740740741,39.41
47,2024-12-19 23:09:52,21.91,45.32282407407408,39.36
48,2024-12-19 23:24:52,21.96,45.33324074074074,38.85
49,2024-12-19 23:39:52,21.82,45.34365740740741,38.79
50,2024-12-19 23:54:52,21.82,45.35407407407408,38.71
51,2024-12-20 00:09:52,21.78,45.36449074074074,38.7
52,2024-12-20 00:24:52,21.81,45.37490740740741,38.57
53,2024-12-20 00:39:52,21.84,45.38532407407408,38.52
54,2024-12-20 00:54:52,21.75,45.39574074074074,38.79
55,2024-12-20 01:09:52,21.69,45.40615740740741,39.04
56,2024-12-20 01:24:52,21.65,45.41657407407408,39.09
57,2024-12-20 01:39:52,21.69,45.42699074074074,38.98
58,2024-12-20 01:54:52,21.66,45.43740740740741,39.0
59,2024-12-20 02:09:52,21.56,45.44782407407408,39.09
60,2024-12-20 02:24:52,21.5,45.45824074074074,39.37
61,2024-12-20 02:39:52,21.55,45.46865740740741,39.31
62,2024-12-20 02:54:52,21.5,45.47907407407408,39.51
63,2024-12-20 03:09:52,21.43,45.48949074074074,39.66
64,2024-12-20 03:24:52,21.34,45.49990740740741,39.8
65,2024-12-20 03:39:52,21.34,45.51032407407408,39.86
66,2024-12-20 03:54:52,21.39,45.52074074074074,39.96
67,2024-12-20 04:09:52,21.39,45.53115740740741,40.17
68,2024-12-20 04:24:52,21.37,45.54157407407408,40.41
69,2024-12-20 04:39:52,21.34,45.55199074074074,40.8
70,2024-12-20 04:54:52,21.37,45.56240740740741,41.01
71,2024-12-20 05:09:52,21.36,45.57282407407408,41.19
72,2024-12-20 05:24:52,21.56,45.58324074074074,40.98
73,2024-12-20 05:39:52,21.55,45.59365740740741,41.18
74,2024-12-20 05:54:52,21.62,45.60407407407408,40.92
75,2024-12-20 06:09:52,21.71,45.61449074074074,40.72
76,2024-12-20 06:24:52,21.62,45.62490740740741,40.64
77,2024-12-20 06:39:52,21.66,45.63532407407408,40.17
78,2024-12-20 06:54:52,21.78,45.64574074074074,39.64
79,2024-12-20 07:09:52,21.84,45.65615740740741,39.29
80,2024-12-20 07:24:52,22.11,45.66657407407408,38.34
81,2024-12-20 07:39:52,22.01,45.67699074074074,38.68
82,2024-12-20 07:54:52,22.11,45.68740740740741,38.57
83,2024-12-20 08:09:52,22.17,45.69782407407408,38.81
84,2024-12-20 08:24:52,22.39,45.70824074074074,38.62
85,2024-12-20 08:39:52,22.5,45.71865740740741,38.64
86,2024-12-20 08:54:52,22.6,45.72907407407408,38.6
87,2024-12-20 09:09:52,22.6,45.73949074074074,38.92
88,2024-12-20 09:24:52,22.73,45.74990740740741,39.01
89,2024-12-20 09:39:52,23.85,45.76032407407408,37.03
90,2024-12-20 09:54:52,23.81,45.77074074074074,37.05
91,2024-12-20 10:09:52,24.05,45.78115740740741,35.99
92,2024-12-20 10:24:52,24.19,45.79157407407408,35.74
93,2024-12-20 10:39:52,23.18,45.80199074074074,37.89
94,2024-12-20 10:54:52,23.2,45.81240740740741,37.78
95,2024-12-20 11:09:52,23.05,45.82282407407408,38.04
96,2024-12-20 11:24:52,22.75,45.83324074074074,39.33
97,2024-12-20 11:39:52,23.65,45.84365740740741,37.22
98,2024-12-20 11:54:52,23.82,45.85407407407408,37.1
99,2024-12-20 12:09:52,23.05,45.86449074074074,37.97
100,2024-12-20 12:24:52,24.25,45.87490740740741,35.6
101,2024-12-20 12:39:52,24.19,45.88532407407408,35.67
102,2024-12-20 12:54:52,24.22,45.89574074074074,35.53
103,2024-12-20 13:09:52,23.7,45.90615740740741,37.65
104,2024-12-20 13:24:52,24.42,45.91657407407408,35.91
105,2024-12-20 13:39:52,24.48,45.92699074074074,36.38
106,2024-12-20 13:54:52,24.0,45.93740740740741,37.34
107,2024-12-20 14:09:52,23.93,45.94782407407408,37.3
108,2024-12-20 14:24:52,23.16,45.95824074074074,38.32
109,2024-12-20 14:39:52,23.67,45.96865740740741,38.08
110,2024-12-20 14:54:52,23.06,45.97907407407408,39.16
111,2024-12-20 15:09:52,24.36,45.98949074074074,37.31
112,2024-12-20 15:24:52,24.46,45.99990740740741,36.67
113,2024-12-20 15:39:52,23.81,46.01032407407408,38.01
114,2024-12-20 15:54:52,23.1,46.02074074074074,39.41
115,2024-12-20 16:09:52,22.76,46.03115740740741,40.27
116,2024-12-20 16:24:52,24.08,46.04157407407408,36.46
117,2024-12-20 16:39:52,22.69,46.05199074074074,40.99
118,2024-12-20 16:54:52,24.01,46.06240740740741,38.46
119,2024-12-20 17:09:52,23.41,46.07282407407408,39.04
120,2024-12-20 17:24:52,23.73,46.08324074074074,38.59
121,2024-12-20 17:39:52,22.56,46.09365740740741,40.8
122,2024-12-20 17:54:52,23.45,46.10407407407408,38.59
123,2024-12-20 18:09:52,22.61,46.11449074074074,40.42
124,2024-12-20 18:24:52,22.52,46.12490740740741,40.55
125,2024-12-20 18:39:52,22.58,46.13532407407408,40.1
126,2024-12-20 18:54:52,22.56,46.14574074074074,39.99
127,2024-12-20 19:09:52,22.95,46.15615740740741,38.95
128,2024-12-20 19:24:52,22.57,46.16657407407408,39.95
129,2024-12-20 19:39:52,22.47,46.17699074074074,40.26
130,2024-12-20 19:54:52,22.42,46.18740740740741,40.8
131,2024-12-20 20:09:52,22.45,46.19782407407408,40.88
132,2024-12-20 20:24:52,22.43,46.20824074074074,41.18
133,2024-12-20 20:39:52,22.42,46.21865740740741,41.56
134,2024-12-20 20:54:52,22.42,46.22907407407408,41.56
135,2024-12-20 21:09:52,22.35,46.23949074074074,41.75
136,2024-12-20 21:24:52,22.3,46.24990740740741,42.04
137,2024-12-20 21:39:52,22.3,46.26032407407408,42.07
138,2024-12-20 21:54:52,22.24,46.27074074074074,42.31
139,2024-12-20 22:09:52,22.35,46.28115740740741,42.24
140,2024-12-20 22:24:52,22.31,46.29157407407408,42.33
141,2024-12-20 22:39:52,22.23,46.30199074074074,42.53
142,2024-12-20 22:54:52,22.23,46.31240740740741,42.56
143,2024-12-20 23:09:52,22.27,46.32282407407408,42.47
144,2024-12-20 23:24:52,22.24,46.33324074074074,42.5
145,2024-12-20 23:39:52,22.28,46.34365740740741,42.49
146,2024-12-20 23:54:52,22.17,46.35407407407408,42.79
147,2024-12-21 00:09:52,22.04,46.36449074074074,43.17
148,2024-12-21 00:24:52,22.2,46.37490740740741,42.79
149,2024-12-21 00:39:52,21.98,46.38532407407408,42.97
150,2024-12-21 00:54:52,22.02,46.39574074074074,42.76
151,2024-12-21 01:09:52,22.01,46.40615740740741,42.68
152,2024-12-21 01:24:52,22.04,46.41657407407408,42.66
153,2024-12-21 01:39:52,22.0,46.42699074074074,42.86
154,2024-12-21 01:54:52,22.01,46.43740740740741,43.18
155,2024-12-21 02:09:52,22.09,46.44782407407408,43.18
156,2024-12-21 02:24:52,21.93,46.45824074074074,43.73
157,2024-12-21 02:39:52,21.94,46.46865740740741,43.85
158,2024-12-21 02:54:52,21.94,46.47907407407408,43.93
159,2024-12-21 03:09:52,21.86,46.48949074074074,44.02
160,2024-12-21 03:24:52,21.91,46.49990740740741,43.82
161,2024-12-21 03:39:52,21.8,46.51032407407408,43.9
162,2024-12-21 03:54:52,21.84,46.52074074074074,43.94
163,2024-12-21 04:09:52,21.85,46.53115740740741,44.07
164,2024-12-21 04:24:52,21.89,46.54157407407408,43.91
165,2024-12-21 04:39:52,21.89,46.55199074074074,44.06
166,2024-12-21 04:54:52,21.86,46.56240740740741,44.41
