Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.51e+03,108,-4.60e+02,-1.10e-07
D-001,D-001,Port D,1,2.51e+07,-134,-1.74e+07,8.83e-12
D-002,D-002,Port D,1,2.88e+07,-93,-1.69e+06,5.54e-12
D-003,D-003,Port D,1,3.69e+07,-152,-3.24e+07,9.06e-12
D-004,pt10,Port D,1,1.30e+03,-64,5.64e+02,1.36e-07
D-005,pt05,Port D,1,1.44e+03,-45,1.02e+03,1.57e-07
D-006,ir10,Port D,1,9.65e+03,-37,7.74e+03,2.76e-08
D-007,ir05,Port D,1,1.56e+04,-28,1.38e+04,2.17e-08
D-008,pt01,Port D,1,4.06e+03,-39,3.15e+03,6.21e-08
D-009,pt02,Port D,1,1.01e+03,-41,7.62e+02,2.38e-07
D-010,pt03,Port D,1,7.81e+04,-27,6.98e+04,4.54e-09
D-011,pt04,Port D,1,1.11e+03,-40,8.49e+02,2.25e-07
D-012,pt06,Port D,1,9.75e+02,-55,5.60e+02,2.00e-07
D-013,pt07,Port D,1,1.34e+03,-54,7.83e+02,1.47e-07
D-014,pt08,Port D,1,9.40e+02,-52,5.84e+02,2.16e-07
D-015,pt09,Port D,1,2.41e+04,-19,2.28e+04,2.01e-08
D-016,g2x2l-2,Port D,1,1.04e+04,-63,4.63e+03,1.72e-08
D-017,g2x2l-1,Port D,1,1.70e+04,-69,6.04e+03,1.00e-08
D-018,g2x2s-2,Port D,1,7.84e+03,-66,3.16e+03,2.22e-08
D-019,g2x2s-1,Port D,1,1.24e+04,-48,8.21e+03,1.72e-08
D-020,g3x3s-2,Port D,1,1.28e+04,-71,4.26e+03,1.32e-08
D-021,g3x3s-1,Port D,1,1.37e+04,-72,4.26e+03,1.22e-08
D-022,g1x1-2,Port D,1,9.99e+03,-60,5.00e+03,1.84e-08
D-023,g1x1-1,Port D,1,8.09e+03,-64,3.60e+03,2.20e-08
D-024,ir01,Port D,1,8.49e+04,-29,7.39e+04,3.81e-09
D-025,ir02,Port D,1,3.18e+05,-31,2.72e+05,9.66e-10
D-026,ir03,Port D,1,1.44e+04,-25,1.31e+04,2.57e-08
D-027,ir04,Port D,1,3.92e+04,-28,3.45e+04,8.61e-09
D-028,ir06,Port D,1,6.65e+05,-27,5.90e+05,5.18e-10
D-029,ir07,Port D,1,9.01e+03,-28,7.98e+03,3.81e-08
D-030,ir08,Port D,1,6.43e+04,-27,5.72e+04,5.44e-09
D-031,ir09,Port D,1,6.10e+05,-32,5.18e+05,4.92e-10
