Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,4.74e+04,133,-3.26e+04,-4.62e-09
D-001,D-001,Port D,1,2.94e+07,-132,-1.96e+07,7.23e-12
D-002,D-002,Port D,1,3.11e+07,-111,-1.11e+07,5.49e-12
D-003,D-003,Port D,1,3.81e+07,-155,-3.45e+07,9.89e-12
D-004,pt10,Port D,1,1.30e+03,-64,5.66e+02,1.35e-07
D-005,pt05,Port D,1,1.44e+03,-45,1.02e+03,1.56e-07
D-006,ir10,Port D,1,9.65e+03,-37,7.74e+03,2.76e-08
D-007,ir05,Port D,1,1.58e+04,-28,1.39e+04,2.15e-08
D-008,pt01,Port D,1,4.06e+03,-39,3.14e+03,6.19e-08
D-009,pt02,Port D,1,1.02e+03,-42,7.54e+02,2.34e-07
D-010,pt03,Port D,1,7.78e+04,-27,6.95e+04,4.54e-09
D-011,pt04,Port D,1,1.11e+03,-40,8.45e+02,2.23e-07
D-012,pt06,Port D,1,9.92e+02,-55,5.75e+02,1.97e-07
D-013,pt07,Port D,1,1.35e+03,-54,7.87e+02,1.46e-07
D-014,pt08,Port D,1,9.59e+02,-51,6.00e+02,2.13e-07
D-015,pt09,Port D,1,2.40e+04,-19,2.26e+04,2.02e-08
D-016,g2x2l-2,Port D,1,1.06e+04,-63,4.83e+03,1.68e-08
D-017,g2x2l-1,Port D,1,1.77e+04,-69,6.33e+03,9.65e-09
D-018,g2x2s-2,Port D,1,7.92e+03,-67,3.12e+03,2.19e-08
D-019,g2x2s-1,Port D,1,1.32e+04,-48,8.85e+03,1.62e-08
D-020,g3x3s-2,Port D,1,1.35e+04,-71,4.36e+03,1.24e-08
D-021,g3x3s-1,Port D,1,1.47e+04,-73,4.39e+03,1.13e-08
D-022,g1x1-2,Port D,1,1.05e+04,-60,5.23e+03,1.75e-08
D-023,g1x1-1,Port D,1,8.32e+03,-63,3.73e+03,2.14e-08
D-024,ir01,Port D,1,8.57e+04,-30,7.45e+04,3.76e-09
D-025,ir02,Port D,1,3.07e+05,-31,2.63e+05,1.00e-09
D-026,ir03,Port D,1,1.47e+04,-26,1.33e+04,2.51e-08
D-027,ir04,Port D,1,3.92e+04,-28,3.46e+04,8.60e-09
D-028,ir06,Port D,1,6.67e+05,-28,5.92e+05,5.15e-10
D-029,ir07,Port D,1,9.01e+03,-28,7.98e+03,3.82e-08
D-030,ir08,Port D,1,6.55e+04,-27,5.82e+04,5.31e-09
D-031,ir09,Port D,1,6.35e+05,-33,5.34e+05,4.63e-10
