Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,6.85e+02,101,-1.27e+02,-2.36e-07
D-001,D-001,Port D,1,2.87e+07,-136,-2.05e+07,7.94e-12
D-002,D-002,Port D,1,3.11e+07,-110,-1.04e+07,5.44e-12
D-003,D-003,Port D,1,3.79e+07,-155,-3.42e+07,9.77e-12
D-004,pt10,Port D,1,1.32e+03,-65,5.64e+02,1.34e-07
D-005,pt05,Port D,1,1.44e+03,-45,1.02e+03,1.56e-07
D-006,ir10,Port D,1,9.66e+03,-37,7.74e+03,2.76e-08
D-007,ir05,Port D,1,1.58e+04,-28,1.39e+04,2.14e-08
D-008,pt01,Port D,1,4.06e+03,-39,3.14e+03,6.20e-08
D-009,pt02,Port D,1,1.02e+03,-42,7.61e+02,2.35e-07
D-010,pt03,Port D,1,7.81e+04,-27,6.97e+04,4.52e-09
D-011,pt04,Port D,1,1.12e+03,-41,8.43e+02,2.18e-07
D-012,pt06,Port D,1,9.93e+02,-55,5.71e+02,1.96e-07
D-013,pt07,Port D,1,1.34e+03,-54,7.84e+02,1.47e-07
D-014,pt08,Port D,1,9.43e+02,-51,5.90e+02,2.16e-07
D-015,pt09,Port D,1,2.39e+04,-19,2.26e+04,2.03e-08
D-016,g2x2l-2,Port D,1,1.07e+04,-63,4.91e+03,1.67e-08
D-017,g2x2l-1,Port D,1,1.80e+04,-69,6.45e+03,9.50e-09
D-018,g2x2s-2,Port D,1,8.00e+03,-67,3.15e+03,2.17e-08
D-019,g2x2s-1,Port D,1,1.36e+04,-48,9.10e+03,1.58e-08
D-020,g3x3s-2,Port D,1,1.38e+04,-71,4.41e+03,1.22e-08
D-021,g3x3s-1,Port D,1,1.53e+04,-73,4.46e+03,1.09e-08
D-022,g1x1-2,Port D,1,1.07e+04,-60,5.33e+03,1.72e-08
D-023,g1x1-1,Port D,1,8.39e+03,-63,3.78e+03,2.13e-08
D-024,ir01,Port D,1,9.04e+04,-30,7.87e+04,3.57e-09
D-025,ir02,Port D,1,3.09e+05,-31,2.65e+05,9.94e-10
D-026,ir03,Port D,1,1.47e+04,-26,1.33e+04,2.50e-08
D-027,ir04,Port D,1,3.93e+04,-28,3.46e+04,8.55e-09
D-028,ir06,Port D,1,6.69e+05,-28,5.92e+05,5.12e-10
D-029,ir07,Port D,1,9.00e+03,-28,7.98e+03,3.82e-08
D-030,ir08,Port D,1,6.59e+04,-27,5.85e+04,5.26e-09
D-031,ir09,Port D,1,6.53e+05,-33,5.47e+05,4.47e-10
